epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,4213.04,0.69194,0.52075,1.25214,0,0,0,0,0,0,0,0.000812,0.000812,0.000812
32,4341.92,0.69196,0.51259,1.20335,0,0,0,0,0,0,0,0.0007724,0.0007724,0.0007724
33,4483.55,0.66986,0.50164,1.21584,0,0,0,0,0,0,0,0.0007328,0.0007328,0.0007328
34,4612.48,0.65214,0.48641,1.19737,0,0,0,0,0,0,0,0.0006932,0.0006932,0.0006932
35,4755.59,0.62089,0.46753,1.15423,0,0,0,0,0,0,0,0.0006536,0.0006536,0.0006536
36,4899.66,0.6502,0.47644,1.17679,0,0,0,0,0,0,0,0.000614,0.000614,0.000614
37,5047.61,0.64039,0.46435,1.16213,0,0,0,0,0,0,0,0.0005744,0.0005744,0.0005744
38,5188.16,0.62518,0.45714,1.16844,0,0,0,0,0,0,0,0.0005348,0.0005348,0.0005348
39,5332.99,0.60729,0.45593,1.16639,0,0,0,0,0,0,0,0.0004952,0.0004952,0.0004952
40,5462.22,0.61458,0.45769,1.19329,0,0,0,0,0,0,0,0.0004556,0.0004556,0.0004556
41,5618.87,0.57738,0.4545,1.14904,0,0,0,0,0,0,0,0.000416,0.000416,0.000416
42,5748.04,0.61012,0.47576,1.12837,0,0,0,0,0,0,0,0.0003764,0.0003764,0.0003764
43,5876.05,0.60679,0.46682,1.15785,0,0,0,0,0,0,0,0.0003368,0.0003368,0.0003368
44,6003.2,0.56166,0.44772,1.13565,0,0,0,0,0,0,0,0.0002972,0.0002972,0.0002972
45,6148.15,0.56344,0.44308,1.14536,0,0,0,0,0,0,0,0.0002576,0.0002576,0.0002576
46,6273.08,0.55423,0.43116,1.11749,0,0,0,0,0,0,0,0.000218,0.000218,0.000218
47,6400.84,0.55234,0.43827,1.1517,0,0,0,0,0,0,0,0.0001784,0.0001784,0.0001784
48,6529.65,0.52118,0.41789,1.11515,0,0,0,0,0,0,0,0.0001388,0.0001388,0.0001388
49,6657.44,0.53756,0.41937,1.13624,0,0,0,0,0,0,0,9.92e-05,9.92e-05,9.92e-05
50,6790.71,0.50738,0.41419,1.13948,0.98733,0.97561,0.99108,0.85159,0.68493,0.40522,1.4615,5.96e-05,5.96e-05,5.96e-05
